"name","picurl","url"
"Puuviljad jogurti, müsli ja pähklitega","http://pilt.toidutare.ee/pilt/12.2017/180270/311x311.jpg?t=1514880281","http://toidutare.ee/road/magustoidud_ja_maiustused/1C42D/#Puuviljad jogurti, müsli ja pähklitega"
"Jäätiselõigud pohlamoosi ja piparkookidega","http://pilt.toidutare.ee/pilt/12.2017/180231/311x311.jpg?t=1513171906","http://toidutare.ee/road/magustoidud_ja_maiustused/jäätis_ja_parfee/1C413/#Jäätiselõigud pohlamoosi ja piparkookidega"
"Segadus kirsside ja šokolaadikastmega","http://pilt.toidutare.ee/pilt/12.2017/180228/311x311.jpg?t=1513170524","http://toidutare.ee/road/magustoidud_ja_maiustused/marjad_ja_puuviljad/1C410/#Segadus kirsside ja šokolaadikastmega"
"Kommiehted","http://pilt.toidutare.ee/pilt/11.2017/180122/311x311.jpg?t=1511966245","http://toidutare.ee/road/magustoidud_ja_maiustused/maiustused/1C3BE/#Kommiehted"
"Advendikalender","http://pilt.toidutare.ee/pilt/11.2017/180120/311x311.jpg?t=1511965103","http://toidutare.ee/road/magustoidud_ja_maiustused/maiustused/1C3BC/#Advendikalender"
"Hurmaasalat metspähklitega","http://pilt.toidutare.ee/pilt/12.2017/180168/311x311.jpg?t=1512646631","http://toidutare.ee/road/magustoidud_ja_maiustused/marjad_ja_puuviljad/1C3E7/#Hurmaasalat metspähklitega"
"India pähkli trühvlid valge šokolaadiga","http://pilt.toidutare.ee/pilt/12.2017/180151/311x311.jpg?t=1512376578","http://toidutare.ee/road/magustoidud_ja_maiustused/maiustused/1C3DC/#India pähkli trühvlid valge šokolaadiga"
"Õunarullid","http://pilt.toidutare.ee/pilt/11.2017/180128/311x311.jpg?t=1512037747","http://toidutare.ee/road/magustoidud_ja_maiustused/maiustused/1C3C4/#Õunarullid"
"Kaerahelbebatoonid","http://pilt.toidutare.ee/pilt/05.2017/179378/311x311.jpg?t=1496151525","http://toidutare.ee/road/magustoidud_ja_maiustused/maiustused/1C11C/#Kaerahelbebatoonid"
"Maasika-apelsini magustoit","http://pilt.toidutare.ee/pilt/11.2017/180070/311x311.jpg?t=1511636467","http://toidutare.ee/road/magustoidud_ja_maiustused/kreemid_ja_pudingid/1C3AA/#Maasika-apelsini magustoit"
"Mango-tšiiaseemnete puding","http://pilt.toidutare.ee/pilt/11.2017/179995/311x311.jpg?t=1509570339","http://toidutare.ee/road/magustoidud_ja_maiustused/kreemid_ja_pudingid/1C36C/#Mango-tšiiaseemnete puding"
"Banaanijäätis","http://pilt.toidutare.ee/pilt/10.2017/179969/311x311.jpg?t=1509022424","http://toidutare.ee/road/magustoidud_ja_maiustused/jäätis_ja_parfee/1C354/#Banaanijäätis"
"Kõrvitsaseemne-meekaramell","http://pilt.toidutare.ee/pilt/10.2017/179934/311x311.jpg?t=1508247871","http://toidutare.ee/road/magustoidud_ja_maiustused/maiustused/1C32E/#Kõrvitsaseemne-meekaramell"
"Kõrvitsa-mannavaht","http://toidutare.ee/resources/img/toidutare_uus/no_image_270x270.png","http://toidutare.ee/road/magustoidud_ja_maiustused/kreemid_ja_pudingid/1C32C/#Kõrvitsa-mannavaht"
"Õunapommid kuivatatud jõhvikate ja speltajahuga","http://pilt.toidutare.ee/pilt/10.2017/179938/311x311.jpg?t=1508327001","http://toidutare.ee/road/magustoidud_ja_maiustused/marjad_ja_puuviljad/1C332/#Õunapommid kuivatatud jõhvikate ja speltajahuga"
"Ananassi panna cotta","http://pilt.toidutare.ee/pilt/10.2017/179917/311x311.jpg?t=1507550477","http://toidutare.ee/road/magustoidud_ja_maiustused/tarretised/1C319/#Ananassi panna cotta"
"Mannavaht jõhvikatega","http://pilt.toidutare.ee/pilt/10.2017/179897/311x311.jpg?t=1507201923","http://toidutare.ee/road/magustoidud_ja_maiustused/kreemid_ja_pudingid/1C307/#Mannavaht jõhvikatega"
"Tume šokolaad kuivatatud maasikate ja müslikattega","http://pilt.toidutare.ee/pilt/10.2017/179888/311x311.jpg?t=1506946792","http://toidutare.ee/road/magustoidud_ja_maiustused/maiustused/1C2FE/#Tume šokolaad kuivatatud maasikate ja müslikattega"
"Šokolaadivaht","http://pilt.toidutare.ee/pilt/09.2017/179826/311x311.jpg?t=1506253096","http://toidutare.ee/road/magustoidud_ja_maiustused/kreemid_ja_pudingid/1C2CC/#Šokolaadivaht"
"Õunakrõbedik ehk õunavorm kaerahelvestega","http://pilt.toidutare.ee/pilt/08.2017/179763/311x311.jpg?t=1503579903","http://toidutare.ee/road/magustoidud_ja_maiustused/marjad_ja_puuviljad/1C289/#Õunakrõbedik ehk õunavorm kaerahelvestega"
"Õunad rukki-mandlitainas","http://pilt.toidutare.ee/pilt/08.2017/179724/311x311.jpg?t=1502885807","http://toidutare.ee/road/magustoidud_ja_maiustused/marjad_ja_puuviljad/1C26B/#Õunad rukki-mandlitainas"
"Üleküpsetatud õunad martsipani ja pehme beseega","http://pilt.toidutare.ee/pilt/08.2017/179722/311x311.jpg?t=1502884559","http://toidutare.ee/road/magustoidud_ja_maiustused/marjad_ja_puuviljad/1C269/#Üleküpsetatud õunad martsipani ja pehme beseega"
